"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Run 2024-10-03 Expt 312 Middle Rotorgene 1c step 5s hold.rex"
"Date","10/3/2024"
"Time","1:20:22 PM"

"Operator","NAM"
"Run Id",""
"Notes","I491 LDNA assay"
"Machine Serial No","0512168"

"Channel","Gain"
"Green","5"
"Yellow","5"
"Orange","5"
"Red","5"
"Crimson","7"
"ex green em orange 5","5"
"ex green em orange 7","7"
"ex green em green 5","5"
"ex green em green 7","7"
"ex green em green 9","9"
"ex green em orange 9","9"
"HRM","7"

"Channel","Threshold"
"Melt A.ex green em orange 7 (Page 1)","0"
"Melt A.ex green em green 9 (Page 1)","0"
"Melt A.ex green em green 5 (Page 1)","0"
"Melt A.ex green em green 7 (Page 1)","0"
"Melt A.ex green em orange 5 (Page 1)","0"
"Melt A.ex green em orange 9 (Page 1)","0"
"Cycling A.ex green em green 7 (Page 1)","0.15142"

"Melt analysis of Melt A.ex green em orange 7 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"1","8421504","NTC","","75.0","","","","",""
"2","32768","WT I491 MEP491-2","","75.8","84.8","","","",""
"3","255","I491F MEP492-2 B","","75.7","85.3","","","",""
"4","16711680","I491N MEP493","","75.2","85.3","","","",""
"5","16711808","I491M MEP494","","68.0","75.0","84.0","","",""
"6","8421504","NTC","","75.3","83.8","","","",""
"7","32768","WT I491 MEP491-2","","70.0","75.7","85.0","89.8","93.0",""
"8","255","I491F MEP492-2 B","","67.5","75.5","84.5","91.5","",""
"9","16711680","I491N MEP493","","75.3","84.5","89.0","","",""
"10","16711808","I491M MEP494","","75.7","84.5","92.5","","",""
"11","8421504","NTC","","69.8","75.8","","","",""
"12","32768","WT I491 MEP491-2","","76.0","85.2","","","",""
"13","255","I491F MEP492-2 B","","67.8","75.8","84.8","89.5","93.7",""
"14","16711680","I491N MEP493","","68.5","75.7","85.5","","",""
"15","16711808","I491M MEP494","","68.5","75.7","84.7","89.5","",""
"27","16777215","","","68.0","72.3","76.5","82.5","86.2","89.8"
"28","16777215","","","66.8","73.0","74.7","78.7","82.5","88.5"
"29","16777215","","","68.5","73.5","75.7","81.2","88.3","93.5"
"30","16777215","","","68.5","75.7","83.5","88.2","92.8",""
"31","16777215","","","69.0","74.2","80.0","84.2","88.7","92.0"
"32","16777215","","","69.8","77.3","82.8","87.3","91.8",""
"33","16777215","","","73.2","88.3","","","",""
"34","16777215","","","70.3","77.7","86.5","","",""
"35","16777215","","","","","","","",""
"36","16777215","","","67.8","69.2","79.5","84.2","89.7",""



