"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Run 2024-10-03 Expt 314 Middle Rotorgene 1c step 5s hold.rex"
"Date","10/3/2024"
"Time","4:46:12 PM"

"Operator","NAM"
"Run Id",""
"Notes","I491 LDNA assay"
"Machine Serial No","0512168"

"Channel","Gain"
"Green","5"
"Yellow","5"
"Orange","5"
"Red","5"
"Crimson","7"
"ex green em orange 5","5"
"ex green em orange 7","7"
"ex green em green 5","5"
"ex green em green 7","7"
"ex green em green 9","9"
"ex green em orange 9","9"
"HRM","7"

"Channel","Threshold"
"Cycling A.ex green em green 7 (Page 1)","0.11761"
"Melt A.ex green em orange 7 (Page 1)","0"
"Melt A.ex green em green 9 (Page 1)","0"
"Melt A.ex green em green 5 (Page 1)","0"
"Melt A.ex green em green 7 (Page 1)","0"
"Melt A.ex green em orange 5 (Page 1)","0"
"Melt A.ex green em orange 9 (Page 1)","0"

"Quantitative analysis of Cycling A.ex green em green 7 (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (Copies)","Calc Conc (Copies)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","8421504","NTC","NTC","","","","","","","","","",""
"2","32768","WT I491 MEP491-2","Unknown","20.44","","","","","20.54","0.09","[20.32 , 20.75]","",""
"3","255","I491F MEP492-2 B","Unknown","20.22","","","","","20.47","0.22","[19.92 , 21.03]","",""
"4","16711680","I491N MEP493","Unknown","20.82","","","","","20.64","0.59","[19.17 , 22.11]","",""
"5","16711808","I491M MEP494","Unknown","21.31","","","","","21.31","0.09","[21.10 , 21.53]","",""
"6","8421504","NTC","NTC","","","","","","","","","",""
"7","32768","WT I491 MEP491-2","Unknown","20.61","","","","","","","","",""
"8","255","I491F MEP492-2 B","Unknown","20.65","","","","","","","","",""
"9","16711680","I491N MEP493","Unknown","21.13","","","","","","","","",""
"10","16711808","I491M MEP494","Unknown","21.40","","","","","","","","",""
"11","8421504","NTC","NTC","","","","","","","","","",""
"12","32768","WT I491 MEP491-2","Unknown","20.56","","","","","","","","",""
"13","255","I491F MEP492-2 B","Unknown","20.55","","","","","","","","",""
"14","16711680","I491N MEP493","Unknown","19.98","","","","","","","","",""
"15","16711808","I491M MEP494","Unknown","21.23","","","","","","","","",""



"Melt analysis of Melt A.ex green em orange 7 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"1","8421504","NTC","","67.0","75.5","","","",""
"2","32768","WT I491 MEP491-2","","75.8","83.5","87.5","91.2","",""
"3","255","I491F MEP492-2 B","","75.2","84.8","","","",""
"4","16711680","I491N MEP493","","70.2","75.0","86.0","","",""
"5","16711808","I491M MEP494","","69.2","74.7","84.0","89.0","",""
"6","8421504","NTC","","68.5","75.2","88.2","","",""
"7","32768","WT I491 MEP491-2","","70.3","75.5","83.7","89.2","",""
"8","255","I491F MEP492-2 B","","70.0","75.5","","","",""
"9","16711680","I491N MEP493","","69.0","75.7","86.0","","",""
"10","16711808","I491M MEP494","","68.5","74.5","84.5","","",""
"11","8421504","NTC","","75.8","","","","",""
"12","32768","WT I491 MEP491-2","","68.0","76.3","85.5","91.0","",""
"13","255","I491F MEP492-2 B","","69.3","75.7","86.0","92.0","",""
"14","16711680","I491N MEP493","","69.0","75.2","85.2","","",""
"15","16711808","I491M MEP494","","69.8","76.0","85.5","","",""
"27","16777215","","","67.2","71.5","77.3","85.0","89.0","93.5"
"28","16777215","","","73.5","","","","",""
"29","16777215","","","78.5","","","","",""
"30","16777215","","","68.3","72.8","78.0","85.0","89.3","92.3"
"31","16777215","","","72.5","79.3","90.7","","",""
"32","16777215","","","67.0","73.8","79.0","88.5","93.0",""
"33","16777215","","","67.5","73.5","81.5","88.5","92.7",""
"34","16777215","","","70.0","80.5","85.8","91.2","",""
"35","16777215","","","72.3","81.8","","","",""
"36","16777215","","","68.3","71.5","77.0","81.5","86.7","89.0"



"Melt analysis of Melt A.ex green em green 9 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5"
"1","8421504","NTC","","66.7","76.2","87.8","90.7",""
"2","32768","WT I491 MEP491-2","","75.8","85.0","","",""
"3","255","I491F MEP492-2 B","","67.0","73.0","85.0","",""
"4","16711680","I491N MEP493","","66.5","73.3","84.8","92.0",""
"5","16711808","I491M MEP494","","73.0","84.2","","",""
"6","8421504","NTC","","66.5","74.8","83.0","88.0",""
"7","32768","WT I491 MEP491-2","","66.3","75.7","85.0","92.5",""
"8","255","I491F MEP492-2 B","","67.0","73.0","85.3","",""
"9","16711680","I491N MEP493","","66.5","73.2","85.2","",""
"10","16711808","I491M MEP494","","73.0","84.5","","",""
"11","8421504","NTC","","65.7","76.0","87.5","90.8",""
"12","32768","WT I491 MEP491-2","","76.3","85.5","","",""
"13","255","I491F MEP492-2 B","","66.3","70.5","73.5","85.7",""
"14","16711680","I491N MEP493","","66.2","73.5","85.5","",""
