"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Expt 42 I491 LDNA Middle Rotorgene 11-19-2024.rex"
"Date","12/2/2024"
"Time","1:19:10 PM"

"Operator","SD"
"Run Id",""
"Notes","I491 LDNA assay"
"Machine Serial No","0512168"

"Channel","Gain"
"Green","5"
"Yellow","5"
"Orange","5"
"Red","5"
"Crimson","7"
"HRM","7"
"ex green em orange 5","5"
"ex green em orange 7","7"
"ex green em green 5","5"
"ex green em green 7","7"
"ex green em green 9","9"
"ex green em orange 9","9"

"Channel","Threshold"
"Cycling A.ex green em green 5 (Page 1)","0.09404"
"Melt A.ex green em green 7 (Page 1)","0"
"Melt A.ex green em orange 7 (Page 1)","0"
"Melt A.ex green em orange 5 (Page 1)","0"
"Melt A.ex green em orange 9 (Page 1)","0"
"Melt A.ex green em green 5 (Page 1)","0"
"Melt A.ex green em green 9 (Page 1)","0"

"Quantitative analysis of Cycling A.ex green em green 5 (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (Copies)","Calc Conc (Copies)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","8421504","NTC","NTC","","","","","","","","","",""
"2","4227072","WT I491 MEP491-2","Unknown","14.54","","","","","14.76","0.21","[14.23 , 15.29]","",""
"3","255","I491F MEP492-2","Unknown","18.00","","","","","18.13","0.16","[17.74 , 18.53]","",""
"4","16711680","I491N MEP493","Unknown","16.94","","","","","17.11","0.16","[16.72 , 17.49]","",""
"5","16711808","I491M MEP494","Unknown","18.16","","","","","18.47","0.44","[17.39 , 19.56]","",""
"6","8355711","NTC","NTC","","","","","","","","","",""
"7","4227072","WT I491 MEP491-2","Unknown","14.76","","","","","","","","",""
"8","255","I491F MEP492-2","Unknown","18.31","","","","","","","","",""
"9","16711680","I491N MEP493","Unknown","17.25","","","","","","","","",""
"10","16711808","I491M MEP494","Unknown","18.29","","","","","","","","",""
"11","8355711","NTC","NTC","","","","","","","","","",""
"12","4227072","WT I491 MEP491-2","Unknown","14.97","","","","","","","","",""
"13","255","I491F MEP492-2","Unknown","18.09","","","","","","","","",""
"14","16711680","I491N MEP493","Unknown","17.12","","","","","","","","",""
"15","16711808","I491M MEP494","Unknown","18.97","","","","","","","","",""



"Melt analysis of Melt A.ex green em green 7 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6","Peak 7"
"1","8421504","NTC","","67.7","76.0","87.5","","","",""
"2","4227072","WT I491 MEP491-2","","76.5","85.5","","","","",""
"3","255","I491F MEP492-2","","73.5","85.5","","","","",""
"4","16711680","I491N MEP493","","74.0","85.5","","","","",""
"5","16711808","I491M MEP494","","68.5","73.7","84.5","","","",""
"6","8355711","NTC","","76.2","85.5","92.5","","","",""
"7","4227072","WT I491 MEP491-2","","76.5","85.8","","","","",""
"8","255","I491F MEP492-2","","67.3","73.8","85.8","","","",""
"9","16711680","I491N MEP493","","66.0","74.2","86.0","","","",""
"10","16711808","I491M MEP494","","66.7","73.7","85.0","","","",""
"11","8355711","NTC","","69.5","76.0","83.5","","","",""
"12","4227072","WT I491 MEP491-2","","66.3","76.7","86.5","","","",""
"13","255","I491F MEP492-2","","74.0","86.0","","","","",""
"14","16711680","I491N MEP493","","66.3","74.2","86.2","","","",""
"15","16711808","I491M MEP494","","74.2","85.5","","","","",""
"16","16777215","","","66.0","71.7","75.5","78.0","80.5","85.5","90.5"



"Melt analysis of Melt A.ex green em orange 7 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4"
"1","8421504","NTC","","69.5","75.5","84.5",""
"2","4227072","WT I491 MEP491-2","","76.0","85.0","92.5",""
"3","255","I491F MEP492-2","","75.5","85.0","",""
"4","16711680","I491N MEP493","","75.0","85.3","",""
"5","16711808","I491M MEP494","","69.8","75.2","83.8","92.5"
"6","8355711","NTC","","75.5","87.5","",""
"7","4227072","WT I491 MEP491-2","","70.0","76.0","85.5",""
"8","255","I491F MEP492-2","","75.2","85.5","",""
"9","16711680","I491N MEP493","","75.5","85.0","",""
"10","16711808","I491M MEP494","","68.3","75.5","84.8",""
"11","8355711","NTC","","72.0","76.0","",""
"12","4227072","WT I491 MEP491-2","","76.5","85.5","",""
"13","255","I491F MEP492-2","","69.8","75.5","85.7","91.2"
"14","16711680","I491N MEP493","","76.0","85.5","",""
"15","16711808","I491M MEP494","","75.8","85.2","",""
"16","16777215","","","72.3","77.0","86.8",""



"Melt analysis of Melt A.ex green em orange 5 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4"
"1","8421504","NTC","","76.0","84.5","92.8",""
"2","4227072","WT I491 MEP491-2","","69.7","76.0","84.8",""
"3","255","I491F MEP492-2","","66.0","75.5","85.3",""
"4","16711680","I491N MEP493","","75.5","85.3","91.7",""
"5","16711808","I491M MEP494","","75.5","84.5","",""
"6","8355711","NTC","","76.0","84.0","88.2",""
"7","4227072","WT I491 MEP491-2","","76.3","85.7","",""
"8","255","I491F MEP492-2","","75.7","85.5","92.7",""
"9","16711680","I491N MEP493","","76.0","86.0","",""
"10","16711808","I491M MEP494","","75.5","84.5","",""
"11","8355711","NTC","","76.0","88.3","",""
"12","4227072","WT I491 MEP491-2","","76.2","86.0","",""
"13","255","I491F MEP492-2","","75.8","85.3","",""
"14","16711680","I491N MEP493","","76.3","86.0","",""
"15","16711808","I491M MEP494","","67.3","76.3","85.5","92.2"
"16","16777215","","","73.2","80.8","84.8",""



"Melt analysis of Melt A.ex green em orange 9 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5"
"1","8421504","NTC","","75.0","84.0","","",""
"2","4227072","WT I491 MEP491-2","","75.5","85.0","89.7","",""
"3","255","I491F MEP492-2","","74.8","85.0","","",""
"4","16711680","I491N MEP493","","75.0","84.8","91.0","",""
"5","16711808","I491M MEP494","","75.0","84.0","","",""
"6","8355711","NTC","","72.2","75.3","","",""
"7","4227072","WT I491 MEP491-2","","75.2","84.5","91.2","",""
"8","255","I491F MEP492-2","","68.0","75.3","85.2","",""
"9","16711680","I491N MEP493","","67.0","75.5","85.0","89.5",""
"10","16711808","I491M MEP494","","68.8","74.8","84.7","",""
"11","8355711","NTC","","66.7","75.7","88.3","",""
"12","4227072","WT I491 MEP491-2","","75.7","86.2","","",""
"13","255","I491F MEP492-2","","66.8","75.5","85.5","92.3",""
"14","16711680","I491N MEP493","","75.2","85.5","","",""
"15","16711808","I491M MEP494","","68.5","75.7","85.0","90.5",""
"16","16777215","","","68.2","74.3","79.2","88.0","91.0"



"Melt analysis of Melt A.ex green em green 5 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4"
"1","8421504","NTC","","76.5","83.7","85.8","90.0"
"2","4227072","WT I491 MEP491-2","","66.5","77.0","85.7",""
"3","255","I491F MEP492-2","","74.2","85.7","",""
"4","16711680","I491N MEP493","","74.5","85.7","",""
"5","16711808","I491M MEP494","","73.8","84.8","",""
"6","8355711","NTC","","76.2","","",""
"7","4227072","WT I491 MEP491-2","","76.8","86.0","",""
"8","255","I491F MEP492-2","","74.5","86.0","",""
