"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Run 2024-10-07 Expt 315 Middle Rotorgene 1c step 5s hold.rex"
"Date","10/7/2024"
"Time","12:17:45 PM"

"Operator","NAM"
"Run Id",""
"Notes","I491 LDNA assay"
"Machine Serial No","0512168"

"Channel","Gain"
"Green","5"
"Yellow","5"
"Orange","5"
"Red","5"
"Crimson","7"
"ex green em orange 5","5"
"ex green em orange 7","7"
"ex green em green 5","5"
"ex green em green 7","7"
"ex green em green 9","9"
"ex green em orange 9","9"
"HRM","7"

"Channel","Threshold"
"Cycling A.ex green em green 7 (Page 1)","0.1"
"Melt A.ex green em green 5 (Page 1)","0"
"Melt A.ex green em green 7 (Page 1)","0"
"Melt A.ex green em orange 5 (Page 1)","0"
"Melt A.ex green em green 9 (Page 1)","0"
"Melt A.ex green em orange 7 (Page 1)","0"
"Melt A.ex green em orange 9 (Page 1)","0"
"Cycling A.ex green em green 5 (Page 1)","0.1"
"Cycling A.ex green em green 9 (Page 1)","0.1"

"Quantitative analysis of Cycling A.ex green em green 7 (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (Copies)","Calc Conc (Copies)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","8421504","NTC","NTC","","","","","","","","","",""
"2","32768","WT I491 MEP491-2","Unknown","20.46","","","","","20.52","0.12","[20.22 , 20.82]","",""
"3","255","I491F MEP492-2 B","Unknown","21.26","","","","","21.52","0.25","[20.89 , 22.15]","",""
"4","16711680","I491N MEP493","Unknown","21.86","","","","","21.78","0.21","[21.25 , 22.31]","",""
"5","16711808","I491M MEP494","Unknown","21.64","","","","","21.99","0.37","[21.06 , 22.92]","",""
"6","8421504","NTC","NTC","","","","","","","","","",""
"7","32768","WT I491 MEP491-2","Unknown","20.44","","","","","","","","",""
"8","255","I491F MEP492-2 B","Unknown","21.77","","","","","","","","",""
"9","16711680","I491N MEP493","Unknown","21.94","","","","","","","","",""
"10","16711808","I491M MEP494","Unknown","21.95","","","","","","","","",""
"11","8421504","NTC","NTC","","","","","","","","","",""
"12","32768","WT I491 MEP491-2","Unknown","20.66","","","","","","","","",""
"13","255","I491F MEP492-2 B","Unknown","21.54","","","","","","","","",""
"14","16711680","I491N MEP493","Unknown","21.53","","","","","","","","",""
"15","16711808","I491M MEP494","Unknown","22.38","","","","","","","","",""



"Melt analysis of Melt A.ex green em green 5 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"1","8421504","NTC","","70.7","75.0","82.5","87.7","92.5",""
"2","32768","WT I491 MEP491-2","","76.5","85.2","","","",""
"3","255","I491F MEP492-2 B","","69.5","73.3","84.8","","",""
"4","16711680","I491N MEP493","","68.5","73.8","84.8","","",""
"5","16711808","I491M MEP494","","73.3","84.5","","","",""
"6","8421504","NTC","","74.5","","","","",""
"7","32768","WT I491 MEP491-2","","68.5","76.5","85.3","","",""
"8","255","I491F MEP492-2 B","","67.2","74.0","85.3","","",""
"9","16711680","I491N MEP493","","73.8","85.5","","","",""
"10","16711808","I491M MEP494","","68.3","73.7","84.3","91.5","",""
"11","8421504","NTC","","69.5","76.0","","","",""
"12","32768","WT I491 MEP491-2","","69.5","77.0","85.7","","",""
"13","255","I491F MEP492-2 B","","68.2","73.8","85.5","","",""
"14","16711680","I491N MEP493","","74.0","85.7","","","",""
"15","16711808","I491M MEP494","","70.0","74.0","85.0","","",""
"27","16777215","","","","","","","",""
"28","16777215","","","77.5","","","","",""
"29","16777215","","","71.7","77.7","86.2","","",""
"30","16777215","","","72.0","81.0","","","",""
"31","16777215","","","67.0","72.5","76.8","82.2","87.7","91.7"
"32","16777215","","","68.0","72.8","77.3","83.5","90.0","92.2"
"33","16777215","","","66.5","73.0","78.0","83.5","86.5","89.5"
"34","16777215","","","84.0","","","","",""
"35","16777215","","","","","","","",""
"36","16777215","","","77.5","82.0","87.2","","",""



"Melt analysis of Melt A.ex green em green 7 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"1","8421504","NTC","","68.5","75.5","82.5","86.8","90.7",""
"2","32768","WT I491 MEP491-2","","76.2","85.0","","","",""
"3","255","I491F MEP492-2 B","","73.0","84.8","","","",""
"4","16711680","I491N MEP493","","66.7","73.5","84.8","91.5","",""
"5","16711808","I491M MEP494","","67.0","73.0","84.0","92.7","",""
"6","8421504","NTC","","72.5","75.5","83.5","87.8","91.8",""
"7","32768","WT I491 MEP491-2","","68.0","76.5","84.8","92.5","",""
"8","255","I491F MEP492-2 B","","72.5","85.0","","","",""
"9","16711680","I491N MEP493","","74.0","85.2","","","",""
"10","16711808","I491M MEP494","","68.5","73.3","84.3","","",""
"11","8421504","NTC","","75.0","88.2","93.8","","",""
"12","32768","WT I491 MEP491-2","","67.2","76.5","85.5","92.3","",""
"13","255","I491F MEP492-2 B","","73.2","85.5","","","",""
"14","16711680","I491N MEP493","","73.7","85.3","","","",""
"15","16711808","I491M MEP494","","66.5","73.7","84.7","90.7","",""
"27","16777215","","","70.0","76.8","84.2","91.3","",""
