"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Run 2024-12-04 Expt 332 Rotorgene.rex"
"Date","12/4/2024"
"Time","11:58:34 AM"

"Operator","NAM"
"Run Id",""
"Notes","I491 LDNA assay"
"Machine Serial No","0512168"

"Channel","Gain"
"Green","5"
"Yellow","5"
"Orange","5"
"Red","5"
"Crimson","7"
"ex green em orange 5","5"
"ex green em orange 7","7"
"ex green em green 5","5"
"ex green em green 7","7"
"ex green em green 9","9"
"ex green em orange 9","9"
"HRM","7"

"Channel","Threshold"
"Cycling A.ex green em green 7 (Page 1)","0.16548"
"Melt A.ex green em green 5 (Page 1)","0"
"Melt A.ex green em green 7 (Page 1)","0"
"Melt A.ex green em green 9 (Page 1)","0"
"Melt A.ex green em orange 5 (Page 1)","0"
"Melt A.ex green em orange 7 (Page 1)","0"
"Melt A.ex green em orange 9 (Page 1)","0"

"Quantitative analysis of Cycling A.ex green em green 7 (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (Copies)","Calc Conc (Copies)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","8421504","NTC","NTC","","","","","","","","","",""
"2","32768","WT I491 MEP491-2","Unknown","15.90","","","","","16.08","0.18","[15.64 , 16.52]","",""
"3","255","I491F MEP492-2 B","Unknown","20.06","","","","","20.18","0.16","[19.78 , 20.59]","",""
"4","16711680","I491N MEP493","Unknown","18.73","","","","","18.87","0.15","[18.50 , 19.24]","",""
"5","16711808","I491M MEP494","Unknown","20.97","","","","","20.88","0.08","[20.68 , 21.08]","",""
"6","8421504","NTC","NTC","","","","","","","","","",""
"7","32768","WT I491 MEP491-2","Unknown","16.08","","","","","","","","",""
"8","255","I491F MEP492-2 B","Unknown","20.12","","","","","","","","",""
"9","16711680","I491N MEP493","Unknown","19.03","","","","","","","","",""
"10","16711808","I491M MEP494","Unknown","20.87","","","","","","","","",""
"11","8421504","NTC","NTC","","","","","","","","","",""
"12","32768","WT I491 MEP491-2","Unknown","16.25","","","","","","","","",""
"13","255","I491F MEP492-2 B","Unknown","20.37","","","","","","","","",""
"14","16711680","I491N MEP493","Unknown","18.85","","","","","","","","",""
"15","16711808","I491M MEP494","Unknown","20.80","","","","","","","","",""



"Melt analysis of Melt A.ex green em green 5 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"1","8421504","NTC","","71.5","76.0","83.5","91.0","",""
"2","32768","WT I491 MEP491-2","","66.5","76.8","85.7","","",""
"3","255","I491F MEP492-2 B","","74.3","85.7","","","",""
"4","16711680","I491N MEP493","","74.2","85.5","","","",""
"5","16711808","I491M MEP494","","73.8","84.5","","","",""
"6","8421504","NTC","","66.2","70.3","75.7","84.8","92.8",""
"7","32768","WT I491 MEP491-2","","66.0","77.0","86.0","","",""
"8","255","I491F MEP492-2 B","","74.2","85.8","","","",""
"9","16711680","I491N MEP493","","74.5","85.7","","","",""
"10","16711808","I491M MEP494","","74.0","85.0","","","",""
"11","8421504","NTC","","66.8","76.5","85.8","90.5","",""
"12","32768","WT I491 MEP491-2","","77.0","86.5","","","",""
"13","255","I491F MEP492-2 B","","74.5","86.2","","","",""
"14","16711680","I491N MEP493","","74.5","86.0","","","",""
"15","16711808","I491M MEP494","","74.3","85.3","","","",""
"27","16777215","","","","","","","",""
"28","16777215","","","77.0","89.3","","","",""
"29","16777215","","","68.0","77.0","81.0","85.5","90.0","93.0"
"30","16777215","","","86.5","","","","",""
"31","16777215","","","93.8","","","","",""
"32","16777215","","","70.5","73.5","79.8","90.5","",""
"33","16777215","","","70.5","77.3","85.0","","",""
"34","16777215","","","91.2","","","","",""
"35","16777215","","","","","","","",""
"36","16777215","","","69.5","75.5","79.2","88.3","",""



"Melt analysis of Melt A.ex green em green 7 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"1","8421504","NTC","","66.3","76.0","83.7","91.0","",""
"2","32768","WT I491 MEP491-2","","76.5","85.7","","","",""
"3","255","I491F MEP492-2 B","","73.8","85.5","","","",""
"4","16711680","I491N MEP493","","73.8","85.3","","","",""
"5","16711808","I491M MEP494","","73.3","84.5","","","",""
"6","8421504","NTC","","75.5","85.0","","","",""
"7","32768","WT I491 MEP491-2","","76.5","86.0","","","",""
"8","255","I491F MEP492-2 B","","74.0","85.5","","","",""
"9","16711680","I491N MEP493","","73.7","85.5","","","",""
"10","16711808","I491M MEP494","","73.7","84.7","","","",""
"11","8421504","NTC","","71.5","76.2","","","",""
"12","32768","WT I491 MEP491-2","","76.7","86.2","","","",""
"13","255","I491F MEP492-2 B","","67.5","74.0","86.0","","",""
"14","16711680","I491N MEP493","","74.3","85.7","","","",""
"15","16711808","I491M MEP494","","74.3","85.2","","","",""
"27","16777215","","","","","","","",""
"28","16777215","","","","","","","",""
"29","16777215","","","81.3","","","","",""
"30","16777215","","","73.0","77.8","","","",""
"31","16777215","","","71.5","77.0","83.5","","",""
"32","16777215","","","","","","","",""
"33","16777215","","","66.3","71.2","73.5","77.7","82.0","89.5"
"34","16777215","","","68.5","73.0","77.8","81.5","85.3","90.2"
"35","16777215","","","69.7","76.8","82.0","90.3","",""
"36","16777215","","","91.5","","","","",""



"Melt analysis of Melt A.ex green em green 9 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"1","8421504","NTC","","75.5","83.2","90.5","","",""
"2","32768","WT I491 MEP491-2","","75.8","85.3","","","",""
"3","255","I491F MEP492-2 B","","73.0","85.2","","","",""
"4","16711680","I491N MEP493","","73.5","85.0","","","",""
"5","16711808","I491M MEP494","","72.8","84.0","","","",""
"6","8421504","NTC","","75.3","85.0","","","",""
"7","32768","WT I491 MEP491-2","","76.0","85.7","","","",""
"8","255","I491F MEP492-2 B","","73.2","85.5","","","",""
"9","16711680","I491N MEP493","","69.8","73.5","85.3","","",""
"10","16711808","I491M MEP494","","72.7","84.5","","","",""
"11","8421504","NTC","","76.0","","","","",""
"12","32768","WT I491 MEP491-2","","76.2","86.0","","","",""
"13","255","I491F MEP492-2 B","","69.3","73.3","85.5","","",""
"14","16711680","I491N MEP493","","73.5","85.5","","","",""
"15","16711808","I491M MEP494","","73.3","85.0","","","",""
"27","16777215","","","70.3","82.2","92.5","","",""
"28","16777215","","","","","","","",""
"29","16777215","","","","","","","",""
"30","16777215","","","67.0","70.7","76.3","83.8","89.0",""
"31","16777215","","","71.8","93.2","","","",""
"32","16777215","","","74.8","79.5","84.2","91.0","",""
"33","16777215","","","70.2","78.5","88.0","","",""
"34","16777215","","","67.0","73.8","77.5","79.5","84.5","90.3"
"35","16777215","","","76.5","81.7","","","",""
"36","16777215","","","","","","","",""



"Melt analysis of Melt A.ex green em orange 5 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6","Peak 7"
"1","8421504","NTC","","68.5","70.7","75.8","82.0","87.3","91.8",""
"2","32768","WT I491 MEP491-2","","75.7","85.2","","","","",""
"3","255","I491F MEP492-2 B","","67.2","75.5","84.8","","","",""
"4","16711680","I491N MEP493","","68.5","75.3","84.7","","","",""
"5","16711808","I491M MEP494","","75.3","84.3","92.0","","","",""
"6","8421504","NTC","","67.3","75.3","85.5","91.0","","",""
"7","32768","WT I491 MEP491-2","","69.5","76.0","85.8","","","",""
"8","255","I491F MEP492-2 B","","75.7","84.8","","","","",""
"9","16711680","I491N MEP493","","75.5","85.7","90.2","","","",""
"10","16711808","I491M MEP494","","75.5","84.5","","","","",""
"11","8421504","NTC","","67.5","76.0","89.5","","","",""
"12","32768","WT I491 MEP491-2","","68.5","70.7","76.0","86.0","","",""
"13","255","I491F MEP492-2 B","","69.0","76.2","85.5","","","",""
"14","16711680","I491N MEP493","","66.7","75.7","85.5","92.5","","",""
"15","16711808","I491M MEP494","","76.2","84.7","90.0","","","",""
"27","16777215","","","68.5","73.7","77.7","81.5","87.0","92.5",""
"28","16777215","","","76.5","88.8","","","","",""
"29","16777215","","","71.8","77.0","85.8","","","",""
"30","16777215","","","68.5","76.0","81.2","86.2","91.5","",""
"31","16777215","","","68.0","73.5","80.5","86.0","90.5","",""
"32","16777215","","","73.5","80.5","89.8","","","",""
"33","16777215","","","76.5","85.2","","","","",""
"34","16777215","","","85.3","","","","","",""
"35","16777215","","","69.2","75.5","80.0","83.5","88.3","92.8",""
"36","16777215","","","67.0","72.5","76.3","81.5","87.5","89.7","92.7"



"Melt analysis of Melt A.ex green em orange 7 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"1","8421504","NTC","","70.5","75.3","84.0","","",""
"2","32768","WT I491 MEP491-2","","75.5","85.5","","","",""
"3","255","I491F MEP492-2 B","","68.5","75.2","84.5","","",""
"4","16711680","I491N MEP493","","68.0","75.7","85.2","90.0","",""
"5","16711808","I491M MEP494","","75.0","83.7","","","",""
"6","8421504","NTC","","67.3","72.3","75.2","85.5","90.3",""
"7","32768","WT I491 MEP491-2","","66.7","75.3","85.7","92.8","",""
"8","255","I491F MEP492-2 B","","69.7","75.3","84.5","","",""
"9","16711680","I491N MEP493","","75.5","85.0","","","",""
"10","16711808","I491M MEP494","","75.2","84.5","","","",""
"11","8421504","NTC","","69.0","75.8","","","",""
"12","32768","WT I491 MEP491-2","","75.8","85.0","","","",""
"13","255","I491F MEP492-2 B","","67.5","71.8","75.7","85.7","",""
"14","16711680","I491N MEP493","","75.2","83.5","86.2","91.2","",""
"15","16711808","I491M MEP494","","66.5","75.7","84.5","89.5","",""
"27","16777215","","","84.3","","","","",""
"28","16777215","","","68.3","72.5","76.0","80.0","85.0","91.5"
"29","16777215","","","67.5","72.5","76.0","79.8","84.3","87.7"
"30","16777215","","","70.0","76.5","86.2","91.0","",""
"31","16777215","","","","","","","",""
"32","16777215","","","70.0","76.5","","","",""
"33","16777215","","","68.7","75.2","82.3","87.3","91.8",""
"34","16777215","","","82.8","","","","",""
"35","16777215","","","69.7","76.3","83.5","87.7","93.0",""
"36","16777215","","","69.7","76.5","80.5","86.0","93.3",""



"Melt analysis of Melt A.ex green em orange 9 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"1","8421504","NTC","","71.0","75.2","82.5","91.7","",""
"2","32768","WT I491 MEP491-2","","67.5","75.5","85.7","","",""
"3","255","I491F MEP492-2 B","","75.0","84.5","","","",""
"4","16711680","I491N MEP493","","75.3","84.7","","","",""
"5","16711808","I491M MEP494","","67.8","75.0","84.2","89.0","",""
"6","8421504","NTC","","72.3","74.5","85.5","89.5","92.5",""
"7","32768","WT I491 MEP491-2","","69.7","75.5","84.8","93.2","",""
"8","255","I491F MEP492-2 B","","75.0","84.5","","","",""
"9","16711680","I491N MEP493","","74.5","84.8","","","",""
"10","16711808","I491M MEP494","","67.5","74.8","84.0","93.3","",""
"11","8421504","NTC","","68.3","74.8","88.2","","",""
"12","32768","WT I491 MEP491-2","","70.0","75.5","86.0","","",""
"13","255","I491F MEP492-2 B","","68.3","75.2","85.0","92.5","",""
"14","16711680","I491N MEP493","","70.5","75.2","85.3","","",""
"15","16711808","I491M MEP494","","75.5","84.3","","","",""
"27","16777215","","","73.3","77.7","82.7","84.2","89.5","92.8"
"28","16777215","","","76.0","89.8","","","",""
"29","16777215","","","69.3","75.5","80.7","88.8","",""
"30","16777215","","","70.0","74.8","81.0","86.7","92.5",""
"31","16777215","","","70.2","76.8","81.0","85.5","92.5",""
"32","16777215","","","67.5","71.2","75.0","80.7","88.5",""
