"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Run 2024-12-04 Expt 333 Rotorgene.rex"
"Date","12/4/2024"
"Time","1:48:16 PM"

"Operator","NAM"
"Run Id",""
"Notes","I491 LDNA assay"
"Machine Serial No","0512168"

"Channel","Gain"
"Green","5"
"Yellow","5"
"Orange","5"
"Red","5"
"Crimson","7"
"ex green em orange 5","5"
"ex green em orange 7","7"
"ex green em green 5","5"
"ex green em green 7","7"
"ex green em green 9","9"
"ex green em orange 9","9"
"HRM","7"

"Channel","Threshold"
"Cycling A.ex green em green 7 (Page 1)","0.13128"
"Melt A.ex green em green 5 (Page 1)","0"
"Melt A.ex green em orange 5 (Page 1)","0"
"Melt A.ex green em green 7 (Page 1)","0"
"Melt A.ex green em orange 7 (Page 1)","0"
"Melt A.ex green em green 9 (Page 1)","0"
"Melt A.ex green em orange 9 (Page 1)","0"

"Quantitative analysis of Cycling A.ex green em green 7 (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (Copies)","Calc Conc (Copies)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","8421504","NTC","NTC","38.51","","","","","38.51","","","",""
"2","32768","WT I491 MEP491-2","Unknown","15.85","","","","","15.86","0.05","[15.74 , 15.98]","",""
"3","255","I491F MEP492-2 B","Unknown","19.38","","","","","19.42","0.04","[19.33 , 19.52]","",""
"4","16711680","I491N MEP493","Unknown","19.80","","","","","19.87","0.77","[17.96 , 21.77]","",""
"5","16711808","I491M MEP494","Unknown","19.69","","","","","19.54","0.36","[18.64 , 20.44]","",""
"6","8421504","NTC","NTC","","","","","","","","","",""
"7","32768","WT I491 MEP491-2","Unknown","15.92","","","","","","","","",""
"8","255","I491F MEP492-2 B","Unknown","19.46","","","","","","","","",""
"9","16711680","I491N MEP493","Unknown","19.13","","","","","","","","",""
"10","16711808","I491M MEP494","Unknown","19.13","","","","","","","","",""
"11","8421504","NTC","NTC","","","","","","","","","",""
"12","32768","WT I491 MEP491-2","Unknown","15.82","","","","","","","","",""
"13","255","I491F MEP492-2 B","Unknown","19.43","","","","","","","","",""
"14","16711680","I491N MEP493","Unknown","20.66","","","","","","","","",""
"15","16711808","I491M MEP494","Unknown","19.80","","","","","","","","",""



"Melt analysis of Melt A.ex green em green 5 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"1","8421504","NTC","","75.8","82.5","89.5","","",""
"2","32768","WT I491 MEP491-2","","66.0","76.5","85.5","","",""
"3","255","I491F MEP492-2 B","","69.0","73.7","85.5","","",""
"4","16711680","I491N MEP493","","68.5","73.5","85.3","","",""
"5","16711808","I491M MEP494","","73.3","84.5","","","",""
"6","8421504","NTC","","66.3","75.3","89.2","","",""
"7","32768","WT I491 MEP491-2","","68.5","76.5","85.8","","",""
"8","255","I491F MEP492-2 B","","73.5","85.7","","","",""
"9","16711680","I491N MEP493","","66.3","74.0","85.3","","",""
"10","16711808","I491M MEP494","","73.2","85.0","","","",""
"11","8421504","NTC","","71.0","75.7","85.5","","",""
"12","32768","WT I491 MEP491-2","","68.3","76.5","86.2","","",""
"13","255","I491F MEP492-2 B","","74.0","86.0","","","",""
"14","16711680","I491N MEP493","","74.2","85.7","","","",""
"15","16711808","I491M MEP494","","73.8","85.0","","","",""
"27","16777215","","","74.7","79.5","84.7","92.7","",""
"28","16777215","","","67.5","76.3","81.0","88.5","92.3",""
"29","16777215","","","72.5","75.0","79.3","84.8","90.3",""
"30","16777215","","","72.3","79.2","85.2","89.8","",""
"31","16777215","","","67.0","74.5","79.7","85.2","89.3",""
"32","16777215","","","68.5","72.7","75.8","80.0","83.8","90.0"
"33","16777215","","","74.3","83.0","","","",""
"34","16777215","","","74.2","","","","",""
"35","16777215","","","67.0","71.5","75.5","80.3","87.0","91.8"
"36","16777215","","","66.3","67.7","73.0","78.7","89.3","91.5"



"Melt analysis of Melt A.ex green em orange 5 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"1","8421504","NTC","","68.8","75.0","83.5","88.5","",""
"2","32768","WT I491 MEP491-2","","69.8","75.7","87.2","","",""
"3","255","I491F MEP492-2 B","","71.0","75.5","83.8","","",""
"4","16711680","I491N MEP493","","70.5","75.3","84.7","93.5","",""
"5","16711808","I491M MEP494","","66.8","75.0","84.0","90.5","",""
"6","8421504","NTC","","72.0","","","","",""
"7","32768","WT I491 MEP491-2","","67.7","72.5","76.0","84.3","88.8","94.0"
"8","255","I491F MEP492-2 B","","75.8","85.8","","","",""
"9","16711680","I491N MEP493","","68.3","74.8","85.7","91.8","",""
"10","16711808","I491M MEP494","","69.5","74.8","84.5","","",""
"11","8421504","NTC","","75.2","83.5","89.0","","",""
"12","32768","WT I491 MEP491-2","","68.8","76.0","86.0","","",""
"13","255","I491F MEP492-2 B","","66.7","76.0","84.8","88.2","",""
"14","16711680","I491N MEP493","","68.7","75.5","85.7","","",""
"15","16711808","I491M MEP494","","67.0","72.8","76.0","83.5","87.5","93.5"
"27","16777215","","","","","","","",""
"28","16777215","","","68.0","75.5","80.5","84.5","86.7","91.5"
"29","16777215","","","75.3","83.2","","","",""
"30","16777215","","","","","","","",""
"31","16777215","","","68.5","75.3","79.8","85.5","90.0",""
"32","16777215","","","65.8","75.5","84.3","90.5","",""
"33","16777215","","","68.7","71.5","76.2","82.3","88.8","93.0"
"34","16777215","","","66.8","77.5","83.0","90.8","",""
"35","16777215","","","66.0","74.0","79.8","85.5","90.3",""
"36","16777215","","","72.5","76.5","83.5","90.5","",""



"Melt analysis of Melt A.ex green em green 7 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"1","8421504","NTC","","66.8","76.5","82.3","87.5","92.0",""
"2","32768","WT I491 MEP491-2","","76.2","85.5","","","",""
"3","255","I491F MEP492-2 B","","67.3","73.2","85.3","","",""
"4","16711680","I491N MEP493","","73.0","85.0","","","",""
"5","16711808","I491M MEP494","","67.2","73.0","84.5","","",""
"6","8421504","NTC","","67.5","74.8","82.3","87.2","92.0",""
"7","32768","WT I491 MEP491-2","","76.2","85.5","","","",""
"8","255","I491F MEP492-2 B","","73.7","85.5","","","",""
"9","16711680","I491N MEP493","","73.5","85.2","","","",""
"10","16711808","I491M MEP494","","73.5","84.8","","","",""
"11","8421504","NTC","","66.0","75.7","86.7","","",""
"12","32768","WT I491 MEP491-2","","67.0","76.5","86.0","","",""
"13","255","I491F MEP492-2 B","","67.0","74.0","85.8","","",""
"14","16711680","I491N MEP493","","73.7","85.5","","","",""
"15","16711808","I491M MEP494","","73.8","84.7","92.7","","",""
"27","16777215","","","73.7","78.8","82.2","88.7","",""
"28","16777215","","","70.5","73.5","78.5","82.5","86.5","90.3"
"29","16777215","","","68.0","75.7","82.0","87.5","90.5",""
"30","16777215","","","77.2","81.8","87.8","","",""
"31","16777215","","","74.7","82.2","93.3","","",""
"32","16777215","","","73.7","81.5","90.0","","",""
"33","16777215","","","67.5","72.3","75.5","81.5","85.5","91.7"
"34","16777215","","","67.2","73.0","78.5","83.3","86.7","88.5"
"35","16777215","","","","","","","",""
"36","16777215","","","73.5","85.2","","","",""



"Melt analysis of Melt A.ex green em orange 7 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6","Peak 7"
"1","8421504","NTC","","71.0","75.3","81.5","88.7","","",""
"2","32768","WT I491 MEP491-2","","68.0","75.3","87.0","","","",""
"3","255","I491F MEP492-2 B","","75.5","83.5","","","","",""
"4","16711680","I491N MEP493","","75.0","82.5","92.2","","","",""
